
 
C1    N2    Elastic                                             
E/N (Td)	Rate coefficient (m3/s)
38.75	0.1112E-14
39.77	0.1144E-14
40.79	0.1185E-14
41.83	0.1226E-14
42.89	0.1268E-14
43.95	0.1309E-14
45.03	0.1351E-14
46.13	0.1394E-14
47.23	0.1436E-14
48.36	0.1479E-14
49.49	0.1526E-14
50.64	0.1569E-14
51.80	0.1611E-14
52.97	0.1653E-14
54.16	0.1696E-14
55.36	0.1737E-14
56.58	0.1779E-14
57.81	0.1820E-14
59.05	0.1860E-14
60.30	0.1900E-14
61.57	0.1939E-14
62.85	0.1984E-14
64.15	0.2021E-14
65.46	0.2057E-14
66.78	0.2092E-14
68.11	0.2127E-14
69.46	0.2160E-14
70.83	0.2192E-14
72.20	0.2222E-14
73.59	0.2252E-14
74.99	0.2280E-14
76.41	0.2307E-14
77.84	0.2323E-14
79.28	0.2347E-14
80.74	0.2370E-14
82.21	0.2391E-14
83.69	0.2411E-14
85.19	0.2430E-14
86.70	0.2448E-14
88.22	0.2464E-14
89.76	0.2478E-14
91.31	0.2492E-14
92.87	0.2504E-14
94.45	0.2515E-14
96.04	0.2524E-14
97.64	0.2532E-14
99.26	0.2539E-14
100.9	0.2545E-14
102.5	0.2550E-14
104.2	0.2554E-14
105.9	0.2557E-14
107.6	0.2558E-14
109.2	0.2559E-14
111.0	0.2559E-14
112.7	0.2558E-14
114.4	0.2556E-14
116.2	0.2553E-14
117.9	0.2549E-14
119.7	0.2555E-14
121.5	0.2550E-14
123.3	0.2544E-14
125.1	0.2537E-14
127.0	0.2530E-14
128.8	0.2523E-14
130.7	0.2514E-14
132.5	0.2506E-14
134.4	0.2497E-14
136.3	0.2487E-14
138.2	0.2477E-14
140.2	0.2467E-14
142.1	0.2456E-14
144.1	0.2445E-14
146.0	0.2424E-14
148.0	0.2413E-14
150.0	0.2401E-14
 
 
C6    N2    Excitation    0.88 eV                               
E/N (Td)	Rate coefficient (m3/s)
1.000	0.4207E-30
1.007	0.5249E-30
1.027	0.1003E-29
1.060	0.2812E-29
1.107	0.1080E-28
1.168	0.5265E-28
1.242	0.3002E-27
1.329	0.1859E-26
1.430	0.1173E-25
1.544	0.7172E-25
1.671	0.4095E-24
1.812	0.2129E-23
1.966	0.9929E-23
2.134	0.4165E-22
2.315	0.1534E-21
2.510	0.5043E-21
2.718	0.1487E-20
2.940	0.3963E-20
3.174	0.9622E-20
3.423	0.2146E-19
3.685	0.4433E-19
3.960	0.8551E-19
4.248	0.1552E-18
4.550	0.2668E-18
4.866	0.4371E-18
5.195	0.6865E-18
5.537	0.1041E-17
5.893	0.1523E-17
6.262	0.2162E-17
6.644	0.2991E-17
7.040	0.4042E-17
7.450	0.5351E-17
7.872	0.6954E-17
8.309	0.8886E-17
8.758	0.1119E-16
9.221	0.1389E-16
9.698	0.1701E-16
10.19	0.2064E-16
10.69	0.2478E-16
11.21	0.2947E-16
11.74	0.3475E-16
12.28	0.4063E-16
12.84	0.4723E-16
13.41	0.5422E-16
13.99	0.6217E-16
14.59	0.7098E-16
15.20	0.8034E-16
15.83	0.9046E-16
16.46	0.1010E-15
17.11	0.1127E-15
17.78	0.1251E-15
18.46	0.1384E-15
19.15	0.1524E-15
19.85	0.1670E-15
20.57	0.1825E-15
21.30	0.1989E-15
22.05	0.2161E-15
22.81	0.2341E-15
23.58	0.2528E-15
24.36	0.2719E-15
25.16	0.2922E-15
25.97	0.3133E-15
26.80	0.3351E-15
27.64	0.3576E-15
28.49	0.3809E-15
29.36	0.4048E-15
30.23	0.4294E-15
31.13	0.4577E-15
32.03	0.4837E-15
32.95	0.5103E-15
33.89	0.5375E-15
34.83	0.5653E-15
35.79	0.5936E-15
36.77	0.6224E-15
37.75	0.6517E-15
38.75	0.6815E-15
39.77	0.7033E-15
40.79	0.7337E-15
41.83	0.7644E-15
42.89	0.7954E-15
43.95	0.8267E-15
45.03	0.8583E-15
46.13	0.8900E-15
47.23	0.9218E-15
48.36	0.9537E-15
49.49	0.9898E-15
50.64	0.1022E-14
51.80	0.1054E-14
52.97	0.1085E-14
54.16	0.1117E-14
55.36	0.1148E-14
56.58	0.1179E-14
57.81	0.1210E-14
59.05	0.1240E-14
60.30	0.1269E-14
61.57	0.1298E-14
62.85	0.1330E-14
64.15	0.1358E-14
65.46	0.1385E-14
66.78	0.1411E-14
68.11	0.1436E-14
69.46	0.1461E-14
70.83	0.1484E-14
72.20	0.1507E-14
73.59	0.1529E-14
74.99	0.1550E-14
76.41	0.1569E-14
77.84	0.1579E-14
79.28	0.1597E-14
80.74	0.1613E-14
82.21	0.1629E-14
83.69	0.1644E-14
85.19	0.1658E-14
86.70	0.1670E-14
88.22	0.1682E-14
89.76	0.1693E-14
91.31	0.1702E-14
92.87	0.1711E-14
94.45	0.1719E-14
96.04	0.1729E-14
97.64	0.1735E-14
99.26	0.1740E-14
100.9	0.1744E-14
102.5	0.1748E-14
104.2	0.1750E-14
105.9	0.1752E-14
107.6	0.1753E-14
109.2	0.1754E-14
111.0	0.1754E-14
112.7	0.1753E-14
114.4	0.1751E-14
116.2	0.1749E-14
117.9	0.1746E-14
119.7	0.1751E-14
121.5	0.1747E-14
123.3	0.1742E-14
125.1	0.1738E-14
127.0	0.1732E-14
128.8	0.1727E-14
130.7	0.1721E-14
132.5	0.1715E-14
134.4	0.1708E-14
136.3	0.1701E-14
138.2	0.1694E-14
140.2	0.1686E-14
142.1	0.1679E-14
144.1	0.1671E-14
146.0	0.1653E-14
148.0	0.1645E-14
150.0	0.1637E-14
 
 
C7    N2    Excitation    1.17 eV                               
E/N (Td)	Rate coefficient (m3/s)
1.000	0.000
1.007	0.000
1.027	0.000
1.060	0.000
1.107	0.000
1.168	0.000
1.242	0.000
1.329	0.000
1.430	0.000
1.544	0.000
1.671	0.000
1.812	0.000
1.966	0.000
2.134	0.2157E-26
2.315	0.1358E-25
2.510	0.7403E-25
2.718	0.3511E-24
2.940	0.1458E-23
3.174	0.5354E-23
3.423	0.1755E-22
3.685	0.5186E-22
3.960	0.1396E-21
4.248	0.3458E-21
4.550	0.7949E-21
4.866	0.1710E-20
5.195	0.3468E-20
5.537	0.6803E-20
5.893	0.1246E-19
6.262	0.2191E-19
6.644	0.3712E-19
7.040	0.6080E-19
7.450	0.9663E-19
7.872	0.1494E-18
8.309	0.2251E-18
8.758	0.3314E-18
9.221	0.4774E-18
9.698	0.6771E-18
10.19	0.9380E-18
10.69	0.1277E-17
11.21	0.1711E-17
11.74	0.2258E-17
12.28	0.2949E-17
12.84	0.3812E-17
13.41	0.4862E-17
13.99	0.6171E-17
14.59	0.7739E-17
15.20	0.9457E-17
15.83	0.1145E-16
16.46	0.1385E-16
17.11	0.1648E-16
17.78	0.1946E-16
18.46	0.2282E-16
19.15	0.2659E-16
19.85	0.3067E-16
20.57	0.3530E-16
21.30	0.4039E-16
22.05	0.4598E-16
22.81	0.5208E-16
23.58	0.5870E-16
24.36	0.6617E-16
25.16	0.7390E-16
25.97	0.8221E-16
26.80	0.9109E-16
27.64	0.1006E-15
28.49	0.1106E-15
29.36	0.1213E-15
30.23	0.1326E-15
31.13	0.1452E-15
32.03	0.1577E-15
32.95	0.1708E-15
33.89	0.1846E-15
34.83	0.1989E-15
35.79	0.2138E-15
36.77	0.2293E-15
37.75	0.2453E-15
38.75	0.2619E-15
39.77	0.2751E-15
40.79	0.2926E-15
41.83	0.3106E-15
42.89	0.3291E-15
43.95	0.3480E-15
45.03	0.3674E-15
46.13	0.3871E-15
47.23	0.4072E-15
48.36	0.4276E-15
49.49	0.4508E-15
50.64	0.4718E-15
51.80	0.4930E-15
52.97	0.5144E-15
54.16	0.5359E-15
55.36	0.5575E-15
56.58	0.5790E-15
57.81	0.6006E-15
59.05	0.6221E-15
60.30	0.6435E-15
61.57	0.6647E-15
62.85	0.6869E-15
64.15	0.7077E-15
65.46	0.7281E-15
66.78	0.7483E-15
68.11	0.7680E-15
69.46	0.7874E-15
70.83	0.8063E-15
72.20	0.8247E-15
73.59	0.8426E-15
74.99	0.8599E-15
76.41	0.8767E-15
77.84	0.8883E-15
79.28	0.9039E-15
80.74	0.9189E-15
82.21	0.9332E-15
83.69	0.9469E-15
85.19	0.9600E-15
86.70	0.9724E-15
88.22	0.9841E-15
89.76	0.9952E-15
91.31	0.1006E-14
92.87	0.1015E-14
94.45	0.1024E-14
96.04	0.1036E-14
97.64	0.1044E-14
99.26	0.1051E-14
100.9	0.1057E-14
